name,vacancy_rate,rental_stock,population,rental_pop,state
Unley,0.75,139,37722,28.48,South Australia
North Burnett,0.12,8,10477,20.97,Queensland
South Burnett,0.36,62,32185,23.54,Queensland
Gympie,0.38,102,49555,22.22,Queensland
Fraser Coast,0.53,312,101501,24.3,Queensland
ACT,1.16,2282,396856,28.56,Australian Capital Territory
Adelaide,1.72,276,22066,46.1,South Australia
Adelaide Hills,0.23,40,38859,10.82,South Australia
Mount Barker,0.47,87,33391,21.81,South Australia
Burnside,0.64,127,43908,21.01,South Australia
Campbelltown,0.67,182,50159,24.67,South Australia
Walkerville,0.51,20,7556,25.71,South Australia
Gawler,0.5,65,23037,27.55,South Australia
Mallala,0.18,9,8804,11.01,South Australia
Playford,0.87,411,89370,33.8,South Australia
Tea Tree Gully,0.34,144,97734,18.67,South Australia
Marion,0.52,242,88614,28.05,South Australia
SA,0.12,8,3529,18.84,South Australia
West Torrens,0.59,182,57901,32.98,South Australia
Barossa,0.21,18,23563,18.8,South Australia
Light,0.27,28,14729,13.43,South Australia
Clare and Gilbert Valleys,0.08,5,9024,19.46,South Australia
Wakefield,0.17,6,6802,19.21,South Australia
Peterborough,0.16,2,1684,16.18,South Australia
Port Pirie City and Dists,0.19,17,17367,25.78,South Australia
Copper Coast,0.12,12,14140,18.95,South Australia
Ceduna,0.31,7,3410,28.25,South Australia
Kimba,,0,1057,15.89,South Australia
Cleve,0.24,3,1764,16.01,South Australia
Elliston,0.1,1,1043,12.92,South Australia
Port Lincoln,0.75,55,14060,29.25,South Australia
Whyalla,1.03,123,21829,30.81,South Australia
Flinders Ranges,0.35,4,1640,18.67,South Australia
Port Augusta,0.52,40,13812,28.57,South Australia
Roxby Downs,4.5,81,3887,48.64,South Australia
Alexandrina,0.29,53,25871,15.03,South Australia
Victor Harbor,0.51,56,14658,18.27,South Australia
Yankalilla,0.13,6,5155,11.81,South Australia
Robe,0.25,5,1378,11.3,South Australia
Wattle Range,0.28,19,11675,18.21,South Australia
Naracoorte and Lucindale,0.13,6,8289,23.35,South Australia
Mount Gambier,0.84,107,26277,29.84,South Australia
Berri and Barmera,0.32,16,10542,26.54,South Australia
Karoonda East Murray,0.1,1,1090,15.19,South Australia
Southern Mallee,,0,2029,16.22,South Australia
Loxton Waikerie,0.19,13,11484,21.51,South Australia
Mid Murray,0.14,11,8638,10.39,South Australia
Murray Bridge,0.42,49,20858,29.47,South Australia
Renmark Paringa,0.19,9,9478,25.15,South Australia
Augusta-Margaret River,0.22,22,14263,20.38,Western Australia
Busselton,0.28,62,36687,20.29,Western Australia
Harvey,0.37,47,26552,18.68,Western Australia
Capel,0.33,26,17124,19.17,Western Australia
Bunbury,0.68,112,31919,29.39,Western Australia
Collie,0.19,8,8801,18.62,Western Australia
Dardanup,0.37,24,14029,20.06,Western Australia
Waroona,0.17,4,4144,15.37,Western Australia
Bridgetown-Greenbushes,0.23,6,4654,16.4,Western Australia
Boyup Brook,0.2,2,1702,15.47,Western Australia
Donnybrook-Balingup,0.16,5,5875,13.64,Western Australia
Manjimup,0.07,4,9256,19.45,Western Australia
Mandurah,0.87,399,80806,22.19,Western Australia
Murray,0.26,24,16699,18.04,Western Australia
Cambridge,0.59,80,26787,20.35,Western Australia
Cottesloe,0.67,25,7595,23.32,Western Australia
Mosman Park,0.86,37,8750,29.35,Western Australia
Peppermint Grove,0.62,4,1636,21.35,Western Australia
Nedlands,0.89,109,21117,19.91,Western Australia
Subiaco,1.17,106,19357,38.17,Western Australia
Vincent,0.94,107,33698,33.45,Western Australia
Perth,1.99,422,21795,43.11,Western Australia
Bassendean,0.36,27,15090,24.64,Western Australia
Swan,0.51,322,133849,19.41,Western Australia
Wanneroo,0.59,504,188218,20.84,Western Australia
Victoria Park,0.89,150,34989,37.77,Western Australia
Canning,0.65,328,90188,26.48,Western Australia
Kalamunda,0.3,72,57448,15.29,Western Australia
Serpentine-Jarrahdale,0.57,74,26830,12.07,Western Australia
Cockburn,0.53,263,104470,21.8,Western Australia
East Fremantle,0.46,16,7375,18.77,Western Australia
Fremantle,0.53,88,28885,27.61,Western Australia
Kwinana,0.75,144,38914,22.84,Western Australia
Rockingham,0.81,472,125108,22.26,Western Australia
Albany,0.23,43,36584,23.51,Western Australia
Denmark,0.16,6,5848,17.99,Western Australia
Gnowangerup,0.12,1,1217,23.17,Western Australia
Katanning,0.26,5,4156,26.3,Western Australia
Kojonup,0.13,2,1982,21.44,Western Australia
Plantagenet,0.11,3,5079,17.96,Western Australia
Chittering,0.11,3,5471,8.83,Western Australia
Cunderdin,0.14,1,1455,23.33,Western Australia
Dowerin,,0,688,20.46,Western Australia
Gingin,0.1,4,5213,9.68,Western Australia
Dandaragan,0.28,9,3212,12.3,Western Australia
Merredin,,0,3347,26.13,Western Australia
Moora,,0,2432,21.74,Western Australia
Mukinbudin,,0,554,23.26,Western Australia
Northam,0.18,10,11112,20.94,Western Australia
Toodyay,0.04,1,4440,10.3,Western Australia
York,0.05,1,3603,15.2,Western Australia
Brookton,,0,976,20.08,Western Australia
Kulin,,0,769,16.49,Western Australia
Wagin,0.1,1,1856,18.59,Western Australia
Broome,0.71,70,16215,35.96,Western Australia
Derby-West Kimberley,0.16,6,7727,47.19,Western Australia
Halls Creek,,0,3266,46.26,Western Australia
Wyndham-East Kimberley,0.14,6,7147,37.86,Western Australia
East Pilbara,1.27,44,10587,44.24,Western Australia
Port Hedland,1.6,130,14472,46.48,Western Australia
Esperance,0.03,2,14237,24.32,Western Australia
Carnarvon,0.1,4,5531,25.18,Western Australia
Exmouth,0.16,4,2734,20.93,Western Australia
Kalgoorlie/Boulder,1.01,138,30050,30.3,Western Australia
Coolgardie,1.35,24,3610,26.7,Western Australia
Dundas,,0,770,13.82,Western Australia
Leonora,,0,1412,36.14,Western Australia
Irwin,0.43,9,3571,20.62,Western Australia
Meekatharra,,0,1063,30.3,Western Australia
Morawa,,0,746,27.82,Western Australia
Northampton,,0,3319,16.63,Western Australia
Brighton,0.49,41,16515,29.82,Tasmania
Clarence,0.49,141,54820,20.82,Tasmania
Glenorchy,0.58,129,46252,30.4,Tasmania
Derwent Valley,0.17,10,10024,21.43,Tasmania
Kingborough,0.34,63,35848,18.35,Tasmania
Hobart,0.91,242,50445,30.68,Tasmania
Sorell,0.36,30,14414,16.01,Tasmania
West Tamar,0.51,66,22720,16.05,Tasmania
Meander Valley,0.29,29,19279,19.02,Tasmania
George Town,0.91,37,6759,22.86,Tasmania
Break O'Day,0.5,26,6107,13.14,Tasmania
Dorset,0.36,15,6616,17.6,Tasmania
Huon Valley,0.37,34,16206,14.42,Tasmania
Glamorgan/Spring Bay,0.4,19,4400,11.34,Tasmania
Burnie,0.59,57,18891,27.61,Tasmania
Central Coast,0.25,27,21367,20.21,Tasmania
Waratah/Wynyard,0.39,30,13574,21.42,Tasmania
Devonport,0.5,64,24700,28.74,Tasmania
Latrobe,0.38,24,10698,20.11,Tasmania
Kentish,0.13,4,6127,12.8,Tasmania
Circular Head,0.26,11,7920,22.25,Tasmania
Darwin,1.28,475,78798,38.62,Northern Territory
NT,,0,6906,44.79,Northern Territory
Litchfield,0.2,18,23858,16.18,Northern Territory
Palmerston,1.02,159,33788,40.81,Northern Territory
MacDonnell,,0,6034,45.0,Northern Territory
Corangamite,0.13,12,16053,18.08,Victoria
Central Desert,,0,3674,57.31,Northern Territory
West Daly,,0,3165,67.84,Northern Territory
Tiwi Islands,,0,2451,74.55,Northern Territory
West Arnhem,,0,6190,55.47,Northern Territory
East Arnhem,0.03,1,9025,69.18,Northern Territory
Roper Gulf,,0,6503,40.59,Northern Territory
Katherine,0.95,41,9726,36.27,Northern Territory
Victoria Daly,0.08,1,2813,39.82,Northern Territory
Unincorp. Other Territories,,0,4522,31.67,Other Territories
Beverley,0.09,1,1739,12.94,Western Australia
Holdfast Bay,0.68,132,35363,27.53,South Australia
