name,vacancy_rate,rental_stock,population,rental_pop,state,region
Waterloo,2.3,246,14619.0,58.47,New South Wales,Sydney
Zetland,3.78,360,10073.0,52.59,New South Wales,Sydney
Bondi,1.74,96,10045.0,45.43,New South Wales,Waverley
Tamarama,1.4,11,1628.0,35.73,New South Wales,Waverley
Bronte,1.61,50,6729.0,31.13,New South Wales,Waverley
Bondi Beach,2.15,156,11650.0,46.08,New South Wales,Waverley
North Bondi,1.73,71,9165.0,35.56,New South Wales,Waverley
Bondi Junction,2.05,113,9443.0,40.29,New South Wales,Waverley
Waverly,,0,55.0,,New South Wales,Upper Hunter Shire
Centennial Park,1.81,24,2373.0,47.53,New South Wales,Randwick
Dover Heights,0.99,15,3801.0,16.93,New South Wales,Waverley
Paddington,1.88,129,12912.0,37.59,New South Wales,Woollahra
Moore Park,7.14,1,26.0,38.46,New South Wales,Sydney
Rose Bay,1.34,68,10053.0,37.64,New South Wales,Woollahra
Vaucluse,1.32,53,9340.0,22.28,New South Wales,Woollahra
Watsons Bay,0.98,4,848.0,25.52,New South Wales,Woollahra
Woollahra,1.6,63,7406.0,29.92,New South Wales,Woollahra
Bellevue Hill,1.54,77,10717.0,28.7,New South Wales,Woollahra
Double Bay,2.2,60,4643.0,33.13,New South Wales,Woollahra
Darling Point,1.64,43,4185.0,26.22,New South Wales,Woollahra
Kingsford,1.51,96,15486.0,48.88,New South Wales,Randwick
Maroubra,1.47,207,30690.0,36.93,New South Wales,Randwick
Randwick,1.58,232,29992.0,44.15,New South Wales,Randwick
Coogee,1.48,114,15210.0,44.95,New South Wales,Randwick
Clovelly,1.12,24,4736.0,33.38,New South Wales,Randwick
Malabar,0.77,12,5422.0,30.92,New South Wales,Randwick
La Perouse,1.2,2,401.0,43.33,New South Wales,Randwick
Matraville,0.75,31,9804.0,31.17,New South Wales,Randwick
Chifley,0.66,9,3237.0,28.0,New South Wales,Randwick
South Coogee,0.7,17,5507.0,44.75,New South Wales,Randwick
Bass Hill,0.8,27,9070.0,28.83,New South Wales,Canterbury-Bankstown
Georges Hall,0.47,15,9047.0,15.44,New South Wales,Canterbury-Bankstown
Chullora,,0,,,New South Wales,Canterbury-Bankstown
Condell Park,0.96,40,11570.0,23.6,New South Wales,Canterbury-Bankstown
Padstow,0.65,36,13307.0,27.09,New South Wales,Canterbury-Bankstown
Revesby,0.91,53,14183.0,31.02,New South Wales,Canterbury-Bankstown
Yagoona,0.85,59,18017.0,31.12,New South Wales,Canterbury-Bankstown
Birrong,0.73,8,3107.0,27.04,New South Wales,Canterbury-Bankstown
Bankstown,1.39,199,32115.0,41.6,New South Wales,Canterbury-Bankstown
Greenacre,0.85,73,24367.0,29.33,New South Wales,Canterbury-Bankstown
Milperra,0.47,7,3954.0,9.06,New South Wales,Canterbury-Bankstown
Picnic Point,0.42,10,6157.0,12.34,New South Wales,Canterbury-Bankstown
