Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Tumbi Umbi,950000.0,0.0,6.44,2.15,620.0,3.39,5.08,3.0,16.0,45.45,45.0
Gorokan,720000.0,2.85,2.85,2.85,520.0,3.75,8.33,20.0,47.0,-7.84,66.0
Kanwal,780000.0,0.0,11.42,4.0,575.0,3.83,12.74,5.0,16.0,14.29,48.0
Charmhaven,750000.0,-1.34,5.63,15.38,535.0,3.7,2.88,4.0,16.0,-5.88,100.0
Jilliby,,,,,,,,0.0,1.0,-50.0,
Yarramalong,,,,,,,,0.0,2.0,100.0,
Lake Munmorah,690000.0,-1.02,6.31,6.15,535.0,4.03,9.18,11.0,35.0,-7.89,76.0
Mannering Park,700000.0,0.14,2.94,0.0,550.0,4.08,4.76,1.0,15.0,15.38,63.0
Ourimbah,1000000.0,1.01,11.11,11.11,650.0,3.38,8.33,0.0,5.0,-64.29,46.0
Fountaindale,,,,,,,,0.0,0.0,0.0,
Summerland Point,820000.0,0.0,5.12,9.33,540.0,3.42,1.88,3.0,16.0,23.08,65.0
Gwandalan,800000.0,0.0,5.96,1.52,600.0,3.9,7.14,3.0,26.0,0.0,70.0
The Entrance,1100000.0,0.0,10.0,10.0,550.0,2.6,5.76,4.0,32.0,100.0,152.0
Toukley,870000.0,0.0,7.4,16.0,480.0,2.86,3.22,7.0,21.0,-16.0,63.0
Norah Head,1450000.0,0.0,-4.92,,675.0,2.42,22.72,1.0,7.0,-22.22,121.0
Tuggerah,,,,,625.0,,13.63,2.0,5.0,0.0,
Kangy Angy,,,,,,,,0.0,1.0,100.0,
Warnervale,1010000.0,-0.25,1.0,1.0,795.0,4.09,16.91,3.0,79.0,61.22,195.0
Wadalba,885000.0,1.71,2.9,5.35,690.0,4.05,11.29,4.0,32.0,23.08,151.0
Wyong,850000.0,1.25,17.24,21.42,550.0,3.36,10.0,4.0,37.0,54.17,75.0
Bathurst,660000.0,1.56,4.92,1.53,460.0,3.62,2.22,7.0,91.0,21.33,136.0
Oberon,580000.0,2.66,5.45,-1.7,420.0,3.76,6.32,5.0,32.0,-25.58,185.0
Condobolin,250000.0,0.0,-8.26,0.0,300.0,6.24,7.14,0.0,24.0,-7.69,169.0
Cowra,459500.0,2.0,-2.24,15.3,380.0,4.3,5.55,13.0,56.0,-23.29,96.0
Forbes,530000.0,0.56,0.0,23.25,420.0,4.12,10.52,13.0,103.0,45.07,123.0
Grenfell,412500.0,9.09,16.19,26.92,330.0,4.16,3.12,4.0,43.0,95.45,151.0
West Wyalong,395000.0,-1.01,-3.55,5.47,480.0,6.31,6.66,3.0,20.0,42.86,118.0
Lithgow,535000.0,2.6,4.9,2.88,400.0,3.88,5.26,6.0,53.0,-10.17,119.0
Mudgee,750000.0,1.48,7.14,6.76,590.0,4.09,7.27,23.0,125.0,45.35,93.0
Wollangambe,,,,,,,,,,,
Wollemi,,,,,,,,,,,
Blayney,586500.0,2.36,6.63,2.0,500.0,4.43,8.69,7.0,37.0,23.33,136.0
Orange,719000.0,-0.69,-2.71,0.0,550.0,3.97,5.76,67.0,356.0,-3.78,108.0
