name,vacancy_rate,rental_stock,population,rental_pop,state
Queanbeyan-Palerang Regional,0.84,247,56028,24.44,New South Wales
Snowy Monaro Regional,1.23,178,20215,19.07,New South Wales
Eurobodalla,0.56,146,37232,16.61,New South Wales
Bega Valley,0.37,78,33246,18.01,New South Wales
Goulburn Mulwaree,0.66,108,29614,23.69,New South Wales
Yass Valley,0.41,33,16146,16.2,New South Wales
Hilltops,0.47,46,18501,21.17,New South Wales
Central Coast,0.68,1093,327737,23.41,New South Wales
Mitcham,0.32,91,64806,17.93,South Australia
Bathurst Regional,0.88,174,41300,25.73,New South Wales
Oberon,0.33,10,5295,17.07,New South Wales
Lachlan,0.18,9,6196,24.01,New South Wales
Cowra,0.39,26,12458,21.68,New South Wales
Forbes,0.94,52,9586,22.69,New South Wales
Weddin,0.18,4,3659,15.59,New South Wales
Bland,0.17,6,5951,17.69,New South Wales
Lithgow,0.42,46,21090,20.52,New South Wales
Mid-Western Regional,1.48,201,24071,21.78,New South Wales
Singleton,0.72,82,22991,24.19,New South Wales
Blayney,0.54,19,7257,19.67,New South Wales
Orange,1.06,206,40349,28.77,New South Wales
Clarence Valley,0.51,148,50670,21.15,New South Wales
Joondalup,0.37,237,154445,15.71,Western Australia
Bellingen,0.45,31,12667,21.07,New South Wales
Coffs Harbour,0.84,315,72954,26.74,New South Wales
Bundaberg,0.52,254,92892,24.63,Queensland
Bourke,,0,2630,27.14,New South Wales
Brewarrina,,0,1643,45.7,New South Wales
Cobar,0.36,10,4645,27.07,New South Wales
Coonamble,0.08,2,3922,21.57,New South Wales
Bogan,0.14,3,2687,24.35,New South Wales
Warren,0.25,4,2735,23.83,New South Wales
Walgett,0.05,2,6109,26.01,New South Wales
NSW,0.4,44,1059,17.8,New South Wales
Warrumbungle Shire,0.13,8,9388,19.21,New South Wales
Western Plains Regional,0.91,225,50076,26.46,New South Wales
Gilgandra,0.09,2,4235,22.66,New South Wales
Narromine,0.34,11,6441,22.89,New South Wales
Cessnock,0.87,252,55568,24.27,New South Wales
Dungog,0.36,17,8973,14.65,New South Wales
Maitland,0.89,355,77305,27.0,New South Wales
Port Stephens,0.55,208,69551,20.84,New South Wales
Charles Sturt,0.53,306,111759,29.17,South Australia
Mid-Coast,0.52,275,90307,20.26,New South Wales
Muswellbrook,0.78,63,16080,31.49,New South Wales
Upper Hunter Shire,0.49,38,14112,23.38,New South Wales
Wollongong,0.83,794,203627,27.34,New South Wales
Shellharbour,0.59,211,68456,24.22,New South Wales
Kiama,0.6,68,21468,16.29,New South Wales
Kempsey,0.52,82,28887,21.18,New South Wales
Nambucca,0.51,56,19209,22.56,New South Wales
Port Macquarie-Hastings,0.63,281,78542,23.98,New South Wales
Albury,1.01,276,51079,29.02,New South Wales
Hay,0.21,4,2947,22.25,New South Wales
